x,y,z,pitch,yaw
0.19,0.633,-0.0785,-20,180
0.19,0.633,-0.0785,-10,180
0.19,0.633,-0.0785,0,180
0.19,0.633,-0.0785,10,180
0.19,0.633,-0.0785,20,180
0.19,0.633,-0.0785,0,-160
0.19,0.633,-0.0785,0,-170
0.19,0.633,-0.0785,0,180
0.19,0.633,-0.0785,0,170
0.19,0.633,-0.0785,0,160
0.19,0.65,-0.0785,-20,180
0.19,0.65,-0.0785,-10,180
0.19,0.65,-0.0785,0,180
0.19,0.65,-0.0785,10,180
0.19,0.65,-0.0785,20,180
0.19,0.65,-0.0785,0,-160
0.19,0.65,-0.0785,0,-170
0.19,0.65,-0.0785,0,180
0.19,0.65,-0.0785,0,170
0.19,0.65,-0.0785,0,160
0.19,0.667,-0.0785,-20,180
0.19,0.667,-0.0785,-10,180
0.19,0.667,-0.0785,0,180
0.19,0.667,-0.0785,10,180
0.19,0.667,-0.0785,20,180
0.19,0.667,-0.0785,0,-160
0.19,0.667,-0.0785,0,-170
0.19,0.667,-0.0785,0,180
0.19,0.667,-0.0785,0,170
0.19,0.667,-0.0785,0,160
0.19,0.684,-0.0785,-20,180
0.19,0.684,-0.0785,-10,180
0.19,0.684,-0.0785,0,180
0.19,0.684,-0.0785,10,180
0.19,0.684,-0.0785,20,180
0.19,0.684,-0.0785,0,-160
0.19,0.684,-0.0785,0,-170
0.19,0.684,-0.0785,0,180
0.19,0.684,-0.0785,0,170
0.19,0.684,-0.0785,0,160
0.19,0.701,-0.0785,-20,180
0.19,0.701,-0.0785,-10,180
0.19,0.701,-0.0785,0,180
0.19,0.701,-0.0785,10,180
0.19,0.701,-0.0785,20,180
0.19,0.701,-0.0785,0,-160
0.19,0.701,-0.0785,0,-170
0.19,0.701,-0.0785,0,180
0.19,0.701,-0.0785,0,170
0.19,0.701,-0.0785,0,160
0.19,0.718,-0.0785,-20,180
0.19,0.718,-0.0785,-10,180
0.19,0.718,-0.0785,0,180
0.19,0.718,-0.0785,10,180
0.19,0.718,-0.0785,20,180
0.19,0.718,-0.0785,0,-160
0.19,0.718,-0.0785,0,-170
0.19,0.718,-0.0785,0,180
0.19,0.718,-0.0785,0,170
0.19,0.718,-0.0785,0,160
0.19,0.735,-0.0785,-20,180
0.19,0.735,-0.0785,-10,180
0.19,0.735,-0.0785,0,180
0.19,0.735,-0.0785,10,180
0.19,0.735,-0.0785,20,180
0.19,0.735,-0.0785,0,-160
0.19,0.735,-0.0785,0,-170
0.19,0.735,-0.0785,0,180
0.19,0.735,-0.0785,0,170
0.19,0.735,-0.0785,0,160
0.207,0.633,-0.0785,-20,180
0.207,0.633,-0.0785,-10,180
0.207,0.633,-0.0785,0,180
0.207,0.633,-0.0785,10,180
0.207,0.633,-0.0785,20,180
0.207,0.633,-0.0785,0,-160
0.207,0.633,-0.0785,0,-170
0.207,0.633,-0.0785,0,180
0.207,0.633,-0.0785,0,170
0.207,0.633,-0.0785,0,160
0.207,0.65,-0.0785,-20,180
0.207,0.65,-0.0785,-10,180
0.207,0.65,-0.0785,0,180
