x,y,z,mx,my,mz
0.0465,0.707,-0.176,1,0,0
0.0615,0.707,-0.176,1,0,0
0.0765,0.707,-0.176,1,0,0
0.0915,0.707,-0.176,1,0,0
0.1065,0.707,-0.176,1,0,0
0.1215,0.707,-0.176,1,0,0
0.1365,0.707,-0.176,1,0,0
0.1515,0.707,-0.176,1,0,0
0.0465,0.723,-0.176,1,0,0
0.0615,0.723,-0.176,1,0,0
0.0765,0.723,-0.176,1,0,0
0.0915,0.723,-0.176,1,0,0
0.1065,0.723,-0.176,1,0,0
0.1215,0.723,-0.176,1,0,0
0.1365,0.723,-0.176,1,0,0
0.1515,0.723,-0.176,1,0,0
0.0465,0.739,-0.176,1,0,0
0.0615,0.739,-0.176,1,0,0
0.0765,0.739,-0.176,1,0,0
0.0915,0.739,-0.176,1,0,0
0.1065,0.739,-0.176,1,0,0
0.1215,0.739,-0.176,1,0,0
0.1365,0.739,-0.176,1,0,0
0.1515,0.739,-0.176,1,0,0
0.0465,0.755,-0.176,1,0,0
0.0615,0.755,-0.176,1,0,0
0.0765,0.755,-0.176,1,0,0
0.0915,0.755,-0.176,1,0,0
0.1065,0.755,-0.176,1,0,0
0.1215,0.755,-0.176,1,0,0
0.1365,0.755,-0.176,1,0,0
0.1515,0.755,-0.176,1,0,0
0.0465,0.771,-0.176,1,0,0
0.0615,0.771,-0.176,1,0,0
0.0765,0.771,-0.176,1,0,0
0.0915,0.771,-0.176,1,0,0
0.1065,0.771,-0.176,1,0,0
0.1215,0.771,-0.176,1,0,0
0.1365,0.771,-0.176,1,0,0
0.1515,0.771,-0.176,1,0,0
0.0465,0.787,-0.176,1,0,0
0.0615,0.787,-0.176,1,0,0
0.0765,0.787,-0.176,1,0,0
0.0915,0.787,-0.176,1,0,0
0.1065,0.787,-0.176,1,0,0
0.1215,0.787,-0.176,1,0,0
0.1365,0.787,-0.176,1,0,0
0.1515,0.787,-0.176,1,0,0
0.0465,0.803,-0.176,1,0,0
0.0615,0.803,-0.176,1,0,0
0.0765,0.803,-0.176,1,0,0
0.0915,0.803,-0.176,1,0,0
0.1065,0.803,-0.176,1,0,0
0.1215,0.803,-0.176,1,0,0
0.1365,0.803,-0.176,1,0,0
0.1515,0.803,-0.176,1,0,0
0.0465,0.819,-0.176,1,0,0
0.0615,0.819,-0.176,1,0,0
0.0765,0.819,-0.176,1,0,0
0.0915,0.819,-0.176,1,0,0
0.1065,0.819,-0.176,1,0,0
0.1215,0.819,-0.176,1,0,0
0.1365,0.819,-0.176,1,0,0
0.1515,0.819,-0.176,1,0,0
