x,y,z,cos_pitch,cos_yaw
0.19,0.633,-0.0785,0.9396926207859084,-1.0
0.19,0.633,-0.0785,0.984807753012208,-1.0
0.19,0.633,-0.0785,1.0,-1.0
0.19,0.633,-0.0785,0.984807753012208,-1.0
0.19,0.633,-0.0785,0.9396926207859084,-1.0
0.19,0.633,-0.0785,1.0,-0.9396926207859083
0.19,0.633,-0.0785,1.0,-0.984807753012208
0.19,0.633,-0.0785,1.0,-1.0
0.19,0.633,-0.0785,1.0,-0.984807753012208
0.19,0.633,-0.0785,1.0,-0.9396926207859083
0.19,0.65,-0.0785,0.9396926207859084,-1.0
0.19,0.65,-0.0785,0.984807753012208,-1.0
0.19,0.65,-0.0785,1.0,-1.0
0.19,0.65,-0.0785,0.984807753012208,-1.0
0.19,0.65,-0.0785,0.9396926207859084,-1.0
0.19,0.65,-0.0785,1.0,-0.9396926207859083
0.19,0.65,-0.0785,1.0,-0.984807753012208
0.19,0.65,-0.0785,1.0,-1.0
0.19,0.65,-0.0785,1.0,-0.984807753012208
0.19,0.65,-0.0785,1.0,-0.9396926207859083
0.19,0.667,-0.0785,0.9396926207859084,-1.0
0.19,0.667,-0.0785,0.984807753012208,-1.0
0.19,0.667,-0.0785,1.0,-1.0
0.19,0.667,-0.0785,0.984807753012208,-1.0
0.19,0.667,-0.0785,0.9396926207859084,-1.0
0.19,0.667,-0.0785,1.0,-0.9396926207859083
0.19,0.667,-0.0785,1.0,-0.984807753012208
0.19,0.667,-0.0785,1.0,-1.0
0.19,0.667,-0.0785,1.0,-0.984807753012208
0.19,0.667,-0.0785,1.0,-0.9396926207859083
0.19,0.684,-0.0785,0.9396926207859084,-1.0
0.19,0.684,-0.0785,0.984807753012208,-1.0
0.19,0.684,-0.0785,1.0,-1.0
0.19,0.684,-0.0785,0.984807753012208,-1.0
0.19,0.684,-0.0785,0.9396926207859084,-1.0
0.19,0.684,-0.0785,1.0,-0.9396926207859083
0.19,0.684,-0.0785,1.0,-0.984807753012208
0.19,0.684,-0.0785,1.0,-1.0
0.19,0.684,-0.0785,1.0,-0.984807753012208
0.19,0.684,-0.0785,1.0,-0.9396926207859083
0.19,0.701,-0.0785,0.9396926207859084,-1.0
0.19,0.701,-0.0785,0.984807753012208,-1.0
0.19,0.701,-0.0785,1.0,-1.0
0.19,0.701,-0.0785,0.984807753012208,-1.0
0.19,0.701,-0.0785,0.9396926207859084,-1.0
0.19,0.701,-0.0785,1.0,-0.9396926207859083
0.19,0.701,-0.0785,1.0,-0.984807753012208
0.19,0.701,-0.0785,1.0,-1.0
0.19,0.701,-0.0785,1.0,-0.984807753012208
0.19,0.701,-0.0785,1.0,-0.9396926207859083
0.19,0.718,-0.0785,0.9396926207859084,-1.0
0.19,0.718,-0.0785,0.984807753012208,-1.0
0.19,0.718,-0.0785,1.0,-1.0
0.19,0.718,-0.0785,0.984807753012208,-1.0
0.19,0.718,-0.0785,0.9396926207859084,-1.0
0.19,0.718,-0.0785,1.0,-0.9396926207859083
0.19,0.718,-0.0785,1.0,-0.984807753012208
0.19,0.718,-0.0785,1.0,-1.0
0.19,0.718,-0.0785,1.0,-0.984807753012208
0.19,0.718,-0.0785,1.0,-0.9396926207859083
0.19,0.735,-0.0785,0.9396926207859084,-1.0
0.19,0.735,-0.0785,0.984807753012208,-1.0
0.19,0.735,-0.0785,1.0,-1.0
0.19,0.735,-0.0785,0.984807753012208,-1.0
0.19,0.735,-0.0785,0.9396926207859084,-1.0
0.19,0.735,-0.0785,1.0,-0.9396926207859083
0.19,0.735,-0.0785,1.0,-0.984807753012208
0.19,0.735,-0.0785,1.0,-1.0
0.19,0.735,-0.0785,1.0,-0.984807753012208
0.19,0.735,-0.0785,1.0,-0.9396926207859083
0.207,0.633,-0.0785,0.9396926207859084,-1.0
0.207,0.633,-0.0785,0.984807753012208,-1.0
0.207,0.633,-0.0785,1.0,-1.0
0.207,0.633,-0.0785,0.984807753012208,-1.0
0.207,0.633,-0.0785,0.9396926207859084,-1.0
0.207,0.633,-0.0785,1.0,-0.9396926207859083
0.207,0.633,-0.0785,1.0,-0.984807753012208
0.207,0.633,-0.0785,1.0,-1.0
0.207,0.633,-0.0785,1.0,-0.984807753012208
0.207,0.633,-0.0785,1.0,-0.9396926207859083
0.207,0.65,-0.0785,0.9396926207859084,-1.0
0.207,0.65,-0.0785,0.984807753012208,-1.0
0.207,0.65,-0.0785,1.0,-1.0
0.207,0.65,-0.0785,0.984807753012208,-1.0
0.207,0.65,-0.0785,0.9396926207859084,-1.0
0.207,0.65,-0.0785,1.0,-0.9396926207859083
0.207,0.65,-0.0785,1.0,-0.984807753012208
0.207,0.65,-0.0785,1.0,-1.0
0.207,0.65,-0.0785,1.0,-0.984807753012208
0.207,0.65,-0.0785,1.0,-0.9396926207859083
0.207,0.667,-0.0785,0.9396926207859084,-1.0
0.207,0.667,-0.0785,0.984807753012208,-1.0
0.207,0.667,-0.0785,1.0,-1.0
0.207,0.667,-0.0785,0.984807753012208,-1.0
0.207,0.667,-0.0785,0.9396926207859084,-1.0
0.207,0.667,-0.0785,1.0,-0.9396926207859083
0.207,0.667,-0.0785,1.0,-0.984807753012208
0.207,0.667,-0.0785,1.0,-1.0
0.207,0.667,-0.0785,1.0,-0.984807753012208
0.207,0.667,-0.0785,1.0,-0.9396926207859083
0.207,0.684,-0.0785,0.9396926207859084,-1.0
0.207,0.684,-0.0785,0.984807753012208,-1.0
0.207,0.684,-0.0785,1.0,-1.0
0.207,0.684,-0.0785,0.984807753012208,-1.0
0.207,0.684,-0.0785,0.9396926207859084,-1.0
0.207,0.684,-0.0785,1.0,-0.9396926207859083
0.207,0.684,-0.0785,1.0,-0.984807753012208
0.207,0.684,-0.0785,1.0,-1.0
0.207,0.684,-0.0785,1.0,-0.984807753012208
0.207,0.684,-0.0785,1.0,-0.9396926207859083
0.207,0.701,-0.0785,0.9396926207859084,-1.0
0.207,0.701,-0.0785,0.984807753012208,-1.0
0.207,0.701,-0.0785,1.0,-1.0
0.207,0.701,-0.0785,0.984807753012208,-1.0
0.207,0.701,-0.0785,0.9396926207859084,-1.0
0.207,0.701,-0.0785,1.0,-0.9396926207859083
0.207,0.701,-0.0785,1.0,-0.984807753012208
0.207,0.701,-0.0785,1.0,-1.0
0.207,0.701,-0.0785,1.0,-0.984807753012208
0.207,0.701,-0.0785,1.0,-0.9396926207859083
0.207,0.718,-0.0785,0.9396926207859084,-1.0
0.207,0.718,-0.0785,0.984807753012208,-1.0
0.207,0.718,-0.0785,1.0,-1.0
0.207,0.718,-0.0785,0.9396926207859084,-1.0
0.207,0.718,-0.0785,1.0,-0.9396926207859083
0.207,0.718,-0.0785,1.0,-0.984807753012208
0.207,0.718,-0.0785,1.0,-1.0
0.207,0.718,-0.0785,1.0,-0.984807753012208
0.207,0.718,-0.0785,1.0,-0.9396926207859083
0.207,0.735,-0.0785,0.9396926207859084,-1.0
0.207,0.735,-0.0785,0.984807753012208,-1.0
0.207,0.735,-0.0785,1.0,-1.0
0.207,0.735,-0.0785,0.984807753012208,-1.0
0.207,0.735,-0.0785,0.9396926207859084,-1.0
0.207,0.735,-0.0785,1.0,-0.9396926207859083
0.207,0.735,-0.0785,1.0,-0.984807753012208
0.207,0.735,-0.0785,1.0,-1.0
0.207,0.735,-0.0785,1.0,-0.984807753012208
0.207,0.735,-0.0785,1.0,-0.9396926207859083
0.224,0.633,-0.0785,0.9396926207859084,-1.0
0.224,0.633,-0.0785,0.984807753012208,-1.0
0.224,0.633,-0.0785,1.0,-1.0
0.224,0.633,-0.0785,0.984807753012208,-1.0
0.224,0.633,-0.0785,0.9396926207859084,-1.0
0.224,0.633,-0.0785,1.0,-0.9396926207859083
0.224,0.633,-0.0785,1.0,-0.984807753012208
0.224,0.633,-0.0785,1.0,-1.0
0.224,0.633,-0.0785,1.0,-0.984807753012208
0.224,0.633,-0.0785,1.0,-0.9396926207859083
0.224,0.65,-0.0785,0.9396926207859084,-1.0
0.224,0.65,-0.0785,0.984807753012208,-1.0
0.224,0.65,-0.0785,1.0,-1.0
0.224,0.65,-0.0785,0.984807753012208,-1.0
0.224,0.65,-0.0785,0.9396926207859084,-1.0
0.224,0.65,-0.0785,1.0,-0.9396926207859083
0.224,0.65,-0.0785,1.0,-0.984807753012208
0.224,0.65,-0.0785,1.0,-1.0
0.224,0.65,-0.0785,1.0,-0.984807753012208
0.224,0.65,-0.0785,1.0,-0.9396926207859083
0.224,0.667,-0.0785,0.9396926207859084,-1.0
0.224,0.667,-0.0785,0.984807753012208,-1.0
0.224,0.667,-0.0785,1.0,-1.0
0.224,0.667,-0.0785,0.984807753012208,-1.0
0.224,0.667,-0.0785,0.9396926207859084,-1.0
0.224,0.667,-0.0785,1.0,-0.9396926207859083
0.224,0.667,-0.0785,1.0,-0.984807753012208
0.224,0.667,-0.0785,1.0,-1.0
0.224,0.667,-0.0785,1.0,-0.984807753012208
0.224,0.667,-0.0785,1.0,-0.9396926207859083
0.224,0.684,-0.0785,0.9396926207859084,-1.0
0.224,0.684,-0.0785,0.984807753012208,-1.0
0.224,0.684,-0.0785,1.0,-1.0
0.224,0.684,-0.0785,0.984807753012208,-1.0
0.224,0.684,-0.0785,0.9396926207859084,-1.0
0.224,0.684,-0.0785,1.0,-0.9396926207859083
0.224,0.684,-0.0785,1.0,-0.984807753012208
0.224,0.684,-0.0785,1.0,-1.0
0.224,0.684,-0.0785,1.0,-0.984807753012208
0.224,0.684,-0.0785,1.0,-0.9396926207859083
0.224,0.701,-0.0785,0.9396926207859084,-1.0
0.224,0.701,-0.0785,0.984807753012208,-1.0
0.224,0.701,-0.0785,1.0,-1.0
0.224,0.701,-0.0785,0.984807753012208,-1.0
0.224,0.701,-0.0785,0.9396926207859084,-1.0
0.224,0.701,-0.0785,1.0,-0.9396926207859083
0.224,0.701,-0.0785,1.0,-0.984807753012208
0.224,0.701,-0.0785,1.0,-1.0
0.224,0.701,-0.0785,1.0,-0.984807753012208
0.224,0.701,-0.0785,1.0,-0.9396926207859083
0.224,0.718,-0.0785,0.9396926207859084,-1.0
0.224,0.718,-0.0785,0.984807753012208,-1.0
0.224,0.718,-0.0785,1.0,-1.0
0.224,0.718,-0.0785,0.984807753012208,-1.0
0.224,0.718,-0.0785,0.9396926207859084,-1.0
0.224,0.718,-0.0785,1.0,-0.9396926207859083
0.224,0.718,-0.0785,1.0,-0.984807753012208
0.224,0.718,-0.0785,1.0,-1.0
0.224,0.718,-0.0785,1.0,-0.984807753012208
0.224,0.718,-0.0785,1.0,-0.9396926207859083
0.224,0.735,-0.0785,0.9396926207859084,-1.0
