x,y,z
0.049033006,0.708632695,-0.172923031
0.063209885,0.708072829,-0.173668237
0.07888563,0.708393174,-0.174352013
0.094154926,0.709166754,-0.173444606
0.108161128,0.70946678,-0.174291073
0.124445578,0.709840164,-0.173917285
0.138896642,0.711186593,-0.174880901
0.155043376,0.711911865,-0.175537676
0.048295786,0.72290012,-0.172731429
0.062658249,0.723078309,-0.173383036
0.076844293,0.723805555,-0.173724457
0.092366422,0.725146874,-0.174148376
0.108615102,0.725793766,-0.17410191
0.123721544,0.726387309,-0.17416535
0.138583751,0.726178148,-0.173857372
0.154419305,0.727948486,-0.175014026
0.046279916,0.739534385,-0.174914073
0.061986125,0.741302052,-0.174769162
0.076193001,0.740836178,-0.174643986
0.092127763,0.741449655,-0.174733861
0.106376355,0.741566324,-0.174266686
0.121952512,0.741511916,-0.174235454
0.138089564,0.74317618,-0.173887711
0.153235107,0.743751099,-0.174351637
0.044599758,0.755983347,-0.176710896
0.059905796,0.756068507,-0.175201025
0.07453528,0.755020313,-0.174428544
0.090788031,0.756252456,-0.174203448
0.105730808,0.75665654,-0.174117522
0.121386683,0.758706424,-0.174669086
0.13698342,0.757943604,-0.173707797
0.151614227,0.759005006,-0.173538534
0.044833014,0.77214573,-0.177359088
0.058875702,0.771273377,-0.176657064
0.074531893,0.771439332,-0.175564494
0.089724728,0.772397188,-0.174872148
0.105319047,0.772696,-0.173929415
0.120028722,0.774108882,-0.174055355
0.135633831,0.775367765,-0.174258086
0.150731299,0.775291482,-0.173400203
0.041745483,0.785233804,-0.177074757
0.057943988,0.786676685,-0.176567695
0.073735565,0.787353336,-0.17530801
0.088277323,0.788101076,-0.174324118
0.104929688,0.789131985,-0.173999612
0.119920205,0.789878695,-0.173628471
0.134911311,0.790395183,-0.173144487
0.150609304,0.790878516,-0.173551586
0.0415,0.801898326,-0.176830738
0.057996352,0.802145275,-0.176216657
0.073352023,0.803977734,-0.17601899
0.08884973,0.803937013,-0.174829051
0.104142273,0.80523243,-0.175064864
0.118975463,0.804691179,-0.174751962
0.134446621,0.806682308,-0.174245707
0.149530992,0.806989089,-0.172914681
0.0415,0.822901114,-0.181
0.0565,0.823952798,-0.181
0.0715,0.823298991,-0.177532973
0.088070152,0.822219935,-0.174550712
0.10201326,0.820953935,-0.174054197
0.1183317,0.820624806,-0.173810718
0.132712723,0.820026422,-0.171
0.147556814,0.818755647,-0.171
