sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,sensor_33,sensor_34,sensor_35,sensor_36,sensor_37,sensor_38,sensor_39,sensor_40,sensor_41,sensor_42,sensor_43,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,sensor_50,sensor_51,sensor_52,sensor_53,sensor_54,sensor_55,sensor_56,sensor_57,sensor_58,sensor_59,sensor_60,sensor_61,sensor_62,sensor_63,sensor_64
1.542,1.5526,1.5539999999999998,1.5512000000000001,1.5575999999999999,1.5495999999999999,1.5442,1.546,1.5456,1.5378,1.538,1.5408000000000002,1.554,1.5572,1.533,1.5348,1.5488,1.5406000000000002,1.5648,1.5524,1.5515999999999999,1.5421999999999998,1.5528,1.5382000000000002,1.5496,1.544,1.5374,1.5455999999999999,1.5495999999999999,1.5438000000000003,1.5298000000000003,1.5284000000000002,1.5398,1.5408000000000002,1.5488,1.5614000000000001,1.548,1.5492,1.5358,1.5572,1.5414,1.5497999999999998,1.5378000000000003,1.5608,1.567,1.5473999999999999,1.5352000000000001,1.5452000000000001,1.5482,1.5488,1.543,1.5508000000000002,1.5467999999999997,1.5386,1.5425999999999997,1.5392,1.55,1.5395999999999999,1.536,1.5452,1.5634000000000001,1.55,1.5643999999999998,1.5417999999999998
1.5420000000000003,1.5532,1.5546000000000002,1.5514,1.558,1.5502,1.5454,1.5473999999999999,1.546,1.5378,1.5378,1.5408000000000002,1.5550000000000002,1.5582,1.5361999999999998,1.539,1.5492,1.5412,1.5655999999999999,1.5526,1.5518,1.5424,1.5554,1.5493999999999999,1.5497999999999998,1.5446,1.5378,1.5452,1.5491999999999997,1.5414,1.5206,1.526,1.5404000000000002,1.5414,1.549,1.5612,1.5471999999999997,1.547,1.5311999999999997,1.555,1.542,1.5501999999999998,1.538,1.5612000000000001,1.5672000000000001,1.5468,1.535,1.5446000000000002,1.5484,1.5486,1.5434,1.551,1.547,1.5384,1.543,1.5392,1.5504,1.5398,1.5368,1.5458,1.5638,1.5501999999999998,1.5642,1.5426
1.542,1.5528,1.5539999999999998,1.5514,1.558,1.55,1.5448,1.5458000000000003,1.5458,1.538,1.5375999999999999,1.5408000000000002,1.5558,1.5584,1.536,1.5368,1.549,1.541,1.5652,1.5522,1.5521999999999998,1.5432000000000001,1.5594,1.5478,1.5501999999999998,1.5442,1.5374,1.5454,1.5495999999999999,1.5444,1.5306,1.527,1.5398,1.541,1.5488,1.5614000000000001,1.5473999999999999,1.5475999999999999,1.5328,1.5518,1.5419999999999998,1.5497999999999998,1.5376,1.5610000000000002,1.5672000000000001,1.5462000000000002,1.534,1.5432000000000001,1.5484,1.5483999999999998,1.5426,1.5506,1.5466,1.5375999999999999,1.5417999999999998,1.538,1.55,1.5393999999999999,1.5364,1.5454,1.5638,1.5493999999999999,1.564,1.542
1.5424,1.5528,1.5542000000000002,1.5514,1.5584,1.5501999999999998,1.5458000000000003,1.546,1.546,1.5384,1.5378,1.5406,1.555,1.559,1.5368,1.537,1.5493999999999999,1.5408,1.5656,1.5523999999999998,1.5517999999999996,1.5436,1.5604,1.5502,1.5496,1.5448,1.538,1.5452,1.5492,1.5413999999999999,1.5256,1.531,1.5406,1.541,1.5492,1.561,1.547,1.545,1.524,1.5514,1.542,1.55,1.5374,1.5614000000000001,1.5668000000000002,1.5450000000000002,1.5324,1.5464,1.5482,1.5488,1.5432000000000001,1.551,1.547,1.538,1.5426,1.5412,1.55,1.54,1.536,1.5458000000000003,1.5638,1.5497999999999998,1.5646,1.5434
1.5416,1.5522,1.554,1.5514,1.5577999999999999,1.5496,1.5452000000000001,1.5458000000000003,1.5458,1.5374,1.5378,1.5408,1.5554,1.559,1.5366000000000002,1.5375999999999999,1.5485999999999998,1.5402,1.5643999999999998,1.5519999999999998,1.5517999999999996,1.5438000000000003,1.5628,1.5524,1.5493999999999999,1.5436,1.5373999999999999,1.5448,1.5488,1.5432000000000001,1.5335999999999999,1.5407999999999997,1.5397999999999998,1.541,1.5482,1.561,1.5462000000000002,1.5454,1.5276,1.5562,1.5416000000000003,1.5492000000000001,1.5372,1.5606000000000002,1.5655999999999999,1.5438000000000003,1.5288,1.5424,1.5473999999999999,1.548,1.5422,1.5502,1.5458,1.5366,1.5406,1.5373999999999999,1.5493999999999999,1.5393999999999999,1.536,1.5448,1.5626,1.5493999999999999,1.5634,1.5416
1.5414,1.5522,1.5538,1.5516,1.5576,1.5496,1.5452000000000001,1.546,1.5462000000000002,1.5374,1.5374,1.5404000000000002,1.5552,1.559,1.537,1.5372,1.5488,1.5404,1.5643999999999998,1.5522000000000002,1.5521999999999998,1.5442,1.5630000000000002,1.5526000000000002,1.5496,1.5442,1.5372,1.545,1.5483999999999998,1.5432000000000001,1.5358,1.5414,1.5395999999999996,1.54,1.5483999999999998,1.5598,1.5444,1.5417999999999998,1.5239999999999998,1.5614000000000001,1.5413999999999999,1.5492000000000001,1.537,1.56,1.5635999999999999,1.539,1.5228,1.5495999999999999,1.5473999999999999,1.5475999999999999,1.5421999999999998,1.5504,1.5448,1.535,1.5402,1.2722,1.5496,1.5396,1.5357999999999996,1.5448,1.563,1.5488,1.564,1.5434
1.5416,1.5526,1.5532,1.5512000000000001,1.5577999999999999,1.5495999999999999,1.5454,1.5456,1.5452,1.5374,1.537,1.5404,1.5552,1.5592000000000001,1.5368,1.5372,1.548,1.5404000000000002,1.5646,1.5524,1.5521999999999998,1.5448,1.5642,1.5526,1.5493999999999999,1.5436,1.5368,1.5446,1.5484,1.5438000000000003,1.5383999999999998,1.5414,1.539,1.54,1.548,1.5592,1.5434,1.5404,1.5306,1.565,1.5412000000000001,1.5488,1.5361999999999998,1.5586,1.5616,1.5332,1.5238,1.5547999999999997,1.5475999999999999,1.5478,1.5414,1.5493999999999999,1.5438000000000003,1.5322,1.5395999999999999,1.5450000000000002,1.5495999999999999,1.5387999999999997,1.5356,1.3900000000000001,1.5622,1.548,1.5641999999999998,1.5442
1.5416,1.552,1.5536,1.5512000000000001,1.5577999999999999,1.5497999999999998,1.545,1.5462000000000002,1.5452,1.5372,1.5372,1.5407999999999997,1.5558,1.5594000000000001,1.5374,1.5374,1.5479999999999998,1.5402,1.565,1.5521999999999998,1.552,1.545,1.5648,1.5526,1.5492000000000001,1.5438000000000003,1.5374000000000003,1.5442,1.5492,1.5462,1.541,1.5424,1.539,1.5406000000000002,1.5478,1.5592000000000001,1.5436,1.3898,1.5395999999999999,1.5674,1.541,1.5486,1.5358,1.5584,1.559,1.5323999999999998,1.5361999999999998,1.5576,1.5475999999999999,1.5478,1.5412,1.5478,1.541,1.5292000000000001,1.5424,1.547,1.55,1.5390000000000001,1.5355999999999999,1.5437999999999998,1.5608,1.547,1.5642,1.5442
1.5412,1.5526,1.5536,1.5508000000000002,1.558,1.5493999999999999,1.5456,1.5456,1.5452,1.5372,1.5374,1.5406,1.5558,1.5596,1.5368,1.5376,1.5485999999999998,1.54,1.5642,1.5521999999999998,1.5523999999999998,1.5458000000000003,1.565,1.553,1.5488,1.5436,1.5372,1.5454,1.5491999999999997,1.547,1.5416,1.5415999999999999,1.5394,1.5396,1.5479999999999998,1.5586,1.5442,1.549,1.545,1.5664,1.5406,1.549,1.5352000000000001,1.557,1.5574000000000001,1.54,1.5506,1.5564,1.547,1.5473999999999999,1.541,1.547,1.538,1.3758000000000001,1.549,1.392,1.549,1.5390000000000001,1.5346,1.5428000000000002,1.5596,1.5458,1.5638,1.544
1.5406,1.5515999999999999,1.5536,1.5505999999999998,1.5574,1.5493999999999999,1.5446,1.5452,1.5444000000000002,1.5372,1.5364,1.5398,1.555,1.559,1.5361999999999998,1.5368,1.5483999999999998,1.5395999999999996,1.5642,1.552,1.552,1.5454,1.5642,1.5524,1.5488,1.543,1.5363999999999998,1.5436,1.549,1.547,1.5406000000000002,1.5408,1.5388,1.5395999999999999,1.546,1.557,1.5432000000000001,1.5493999999999999,1.5417999999999998,1.5622000000000003,1.5406,1.5486,1.5335999999999999,1.5535999999999999,1.5524,1.5455999999999999,1.5452,1.5495999999999999,1.5467999999999997,1.5464,1.5391999999999997,1.542,1.5333999999999999,1.5368,1.5518,1.5433999999999999,1.5486,1.538,1.5341999999999998,1.5413999999999999,1.5592,1.5496,1.5674,1.5446000000000002
1.5408000000000002,1.5512000000000001,1.5528,1.5508,1.557,1.549,1.5448,1.545,1.5444,1.5368,1.5366,1.5395999999999999,1.5552,1.5586,1.5365999999999997,1.536,1.5475999999999999,1.5398,1.5638,1.5512000000000001,1.5512000000000001,1.5442,1.5635999999999999,1.552,1.5483999999999998,1.5428000000000002,1.5355999999999999,1.5434000000000003,1.5478,1.5456,1.54,1.5399999999999998,1.5384,1.5392,1.5462,1.5558,1.5408000000000002,1.548,1.5414,1.5618000000000003,1.54,1.5473999999999999,1.5335999999999999,1.5528,1.553,1.5478,1.5483999999999998,1.551,1.5467999999999997,1.5472,1.5395999999999999,1.544,1.5382000000000002,1.542,1.5556,1.5442,1.5483999999999998,1.5378000000000003,1.5342,1.543,1.5604,1.5515999999999999,1.5675999999999999,1.5452
1.5404,1.5510000000000002,1.5528,1.55,1.557,1.5488,1.5438000000000003,1.5452,1.544,1.536,1.5361999999999998,1.5398,1.5546,1.5588,1.5361999999999998,1.536,1.5475999999999996,1.5388,1.5634,1.5512000000000001,1.5512000000000001,1.5448,1.5638,1.5514,1.548,1.5421999999999998,1.5358,1.5436,1.549,1.5475999999999999,1.5399999999999998,1.5402,1.5375999999999999,1.5382,1.5448,1.5562,1.5475999999999999,1.5557999999999998,1.5422,1.561,1.5395999999999999,1.5466,1.5307999999999997,1.5493999999999999,1.568,1.564,1.5446,1.5473999999999999,1.5458000000000003,1.5450000000000002,1.5366,1.54,1.5436,1.5472,1.5491999999999997,1.5399999999999998,1.5475999999999999,1.5366,1.5325999999999997,1.5402,1.5602,1.5514,1.5654,1.5424
1.5395999999999999,1.5501999999999998,1.5517999999999996,1.5493999999999999,1.5562,1.5484,1.5433999999999999,1.544,1.543,1.5356,1.5355999999999999,1.5386,1.5543999999999998,1.5582,1.535,1.5357999999999998,1.5464,1.5384,1.5624,1.5506,1.551,1.5444,1.563,1.5504,1.5468,1.5408,1.534,1.5422,1.5488,1.5462,1.5387999999999997,1.5387999999999997,1.5364,1.536,1.5417999999999998,1.5548,1.5473999999999999,1.5518,1.5386,1.5594000000000001,1.538,1.5436,1.5246,1.5462000000000002,1.5708,1.5524,1.5384,1.5454,1.5442,1.5424,1.5323999999999998,1.5406,1.5516,1.5433999999999999,1.5452,1.5388,1.5472,1.5357999999999996,1.5315999999999999,1.5424,1.5642,1.5524,1.5642,1.5417999999999998
